repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
openai/prm800k,Model development,Dataset engineering,1264,2,0.16%,9,0.71%,82,"800,000 step-level correctness labels on LLM solutions to MATH problems",Huntrr,1,2023-04-13,1000-01-01,0
DSXiangLi/DecryptPrompt,Lists,,1973,2,0.10%,31,1.57%,191,总结Prompt&LLM论文，开源数据&模型，AIGC应用,"DSXiangLi, gordonhu608, aFlyBird0",5,2023-02-10,2023-12-18,0
microsoft/prompt-engine,AI engineering,Prompt engineering,2424,2,0.08%,4,0.17%,96,A library for helping developers craft prompts for Large Language Models,"abhimasand, ryanvolum, microsoftopensource",5,2022-06-17,2022-10-12,0
lyogavin/Anima,Model repo,Multilingual,2752,2,0.07%,19,0.69%,211,"33B Chinese LLM, DPO QLORA, 100K context, AirLLM 70B inference with single 4GB GPU","lyogavin, likeslab, eltociear",4,2023-06-12,2024-01-05,0
NVIDIA/aistore,Infrastructure,Data management,1071,2,0.19%,8,0.75%,141,AIStore: scalable storage for AI applications,"alex-aizman, VirrageS, VladimirMarkelov",33,2017-12-14,2024-02-07,2154
thu-vu92/local-llms-analyse-finance,Tutorials,,569,2,0.35%,18,3.16%,132,"In this project, I explored how local LLMs can be used to label data and support analyses. Specifically, I used Llama2 model to automatically categorise my bank transaction data.",thu-vu92,1,2024-02-02,1000-01-01,0
open-mmlab/mmpretrain,Model development,Modeling & training,3105,2,0.06%,13,0.42%,1003,OpenMMLab Pre-training Toolbox and Benchmark,"mzr1996, Ezra-Yu, LXXXXR",100+,2020-07-09,2024-01-04,0
lamini-ai/lamini,Model development,Modeling & training,2403,2,0.08%,6,0.25%,149,,"sharonzhou, gdiamos, edamamez",11,2023-04-20,2024-03-29,0
netease-youdao/EmotiVoice,Model repo,Multimodal,6195,2,0.03%,32,0.52%,511,EmotiVoice 😊: a Multi-Voice and Prompt-Controlled TTS Engine,"syq163, netease-youdao, huaxuanW",11,2023-11-08,2024-01-23,87
chathub-dev/chathub,AI engineering,AI interface,9434,2,0.02%,17,0.18%,946,All-in-one chatbot client,"wong2, okkidwi, 10cl",12,2023-03-04,2024-01-19,43580
MegEngine/InferLLM,Infrastructure,Serving,606,2,0.33%,10,1.65%,74,a lightweight LLM model inference framework,"chenqy4933, xhebox, tpoisonooo",10,2023-05-04,2023-10-07,0
hao-ai-lab/LookaheadDecoding,Model development,Inference optimization,949,2,0.21%,11,1.16%,61,,"Viol2000, jiqing-feng, zhisbug",5,2023-11-21,2024-02-14,0
WooooDyy/LLM-Agent-Paper-List,Lists,,5059,2,0.04%,60,1.19%,300,"The paper list of the 86-page paper ""The Rise and Potential of Large Language Model Based Agents: A Survey"" by Zhiheng Xi et al.","WooooDyy, zsxmwjz, Yiwen-Ding",32,2023-09-12,2024-03-15,0
SoraWebui/SoraWebui,Applications,Bots,2063,2,0.10%,18,0.87%,431,"SoraWebui is an open-source Sora web client, enabling users to easily create videos from text with OpenAI's Sora model.","littletry, yangchuansheng, eltociear",5,2024-02-18,2024-02-29,0
e2b-dev/e2b,AI engineering,Agent,5966,2,0.03%,36,0.60%,360,Cloud Runtime for AI Agents,"ValentaTomas, mlejva, jakubno",13,2023-03-04,2024-03-27,0
Nutlope/aicommits,Applications,Coding,7303,2,0.03%,24,0.33%,337,A CLI that writes your git commit messages for you with AI,"privatenumber, Nutlope, yusefren",24,2023-02-14,2023-02-15,0
anthropics/hh-rlhf,Model development,Dataset engineering,1418,2,0.14%,9,0.63%,105,"Human preference data for ""Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback""","8enmann, dganguli, NinoRisteski",4,2022-04-10,2023-09-19,0
uezo/ChatdollKit,AI engineering,AI interface,627,2,0.32%,3,0.48%,67,ChatdollKit enables you to make your 3D model into a chatbot,"uezo, nakazax",2,2020-03-21,2024-03-21,4087
EleutherAI/gpt-neox,Model development,Modeling & training,6514,2,0.03%,18,0.28%,944,"An implementation of model parallel autoregressive transformers on GPUs, based on the DeepSpeed library.","StellaAthena, sdtblck, joshlk",90,2020-12-22,2024-04-01,0
young-geng/EasyLM,Model development,Modeling & training,2210,2,0.09%,5,0.23%,222,"Large language models (LLMs) made easy, EasyLM is a one stop solution for pre-training, finetuning, evaluating and serving LLMs in JAX/Flax.","young-geng, lhao499, Yulv-git",10,2022-11-22,2023-08-13,0
FasterDecoding/Medusa,Model development,Inference optimization,1805,2,0.11%,19,1.05%,111,Medusa: Simple Framework for Accelerating LLM Generation with Multiple Decoding Heads,"leeyeehoo, ctlllll, harveyp123",10,2023-09-10,2024-02-27,0
dvlab-research/LongLoRA,Model repo,,2393,2,0.08%,11,0.46%,238,Code and documents of LongLoRA and LongAlpaca (ICLR 2024 Oral),"yukang2017, naubull2, gianlucamacri",16,2023-09-21,2023-11-19,0
Pythagora-io/pythagora,Applications,Coding,1486,2,0.13%,7,0.47%,62,Generate automated tests for your Node.js app via LLMs without developers having to write a single line of code.,"LeonOstrez, zvone187, pavel-pythagora",6,2023-01-21,2023-10-19,0
openai/human-eval,AI engineering,Evals,1885,2,0.11%,21,1.11%,275,"Code for the paper ""Evaluating Large Language Models Trained on Code""","heewooj, qimingyuan, Linyxus",3,2021-07-06,2021-11-30,0
llm-attacks/llm-attacks,AI engineering,Evals,2783,2,0.07%,23,0.83%,366,Universal and Transferable Attacks on Aligned Language Models,"andyzoujm, zifanw505",2,2023-07-27,1000-01-01,0
apple/ml-stable-diffusion,Model repo,,16019,2,0.01%,20,0.12%,858,Stable Diffusion with Core ML on Apple Silicon,"atiorh, pcuenca, TobyRoseman",30,2022-11-16,2024-03-12,0
santinic/how2,Applications,Coding,5689,2,0.04%,4,0.07%,156,AI for the Command Line,"santinic, PaoloCifariello, danyshaanan",13,2016-02-13,2022-09-01,1596
microsoft/JARVIS,AI engineering,Agent,22909,2,0.01%,34,0.15%,1903,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf","tricktreat, StillKeepTry, siyuyuan",23,2023-03-30,2024-01-05,0
huggingface/setfit,Model development,Modeling & training,1916,2,0.10%,9,0.47%,196,Efficient few-shot learning with Sentence Transformers,"tomaarsen, lewtun, danielkorat",42,2022-06-30,2024-04-03,0
ModelTC/lightllm,Infrastructure,Serving,1693,2,0.12%,38,2.24%,152,"LightLLM is a Python-based LLM (Large Language Model) inference and serving framework, notable for its lightweight design, easy scalability, and high-speed performance.","hiworldwzj, shihaobai, llehtahw",25,2023-07-22,2024-04-01,0
BlinkDL/AI-Writer,Applications,Writing,2678,2,0.07%,12,0.45%,489,AI 写小说，生成玄幻和言情网文等等。中文预训练生成模型。采用我的 RWKV 模型，类似 GPT-2 。AI写作。RWKV for Chinese novel generation.,"BlinkDL, www, Wrg1t",3,2021-07-26,2022-01-15,27271
argilla-io/distilabel,Model development,Dataset engineering,667,2,0.30%,16,2.40%,44,"Distilabel is a framework for synthetic data and AI feedback for AI engineers that require high-quality outputs, full data ownership, and overall efficiency","plaguss, alvarobartt, gabrielmbmb",16,2023-10-16,2024-04-04,0
openai/evals,AI engineering,Evals,13645,2,0.01%,47,0.34%,2476,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks.","andrew-openai, rlbayes, jwang47",100+,2023-01-23,2024-04-04,0
OpenGVLab/OmniQuant,Model development,Inference optimization,534,2,0.37%,9,1.69%,42,[ICLR2024 spotlight] OmniQuant is a simple and powerful quantization technique for LLMs. ,"ChenMnZ, wqshao126, xingchensong",11,2023-08-22,2024-01-19,475
laiyer-ai/llm-guard,AI engineering,Prompt engineering,792,2,0.25%,12,1.52%,87,The Security Toolkit for LLM Interactions,"asofter, andreaponti5, Cybersizemore",10,2023-07-27,2024-03-27,0
mattzcarey/code-review-gpt,Applications,Coding,1278,2,0.16%,9,0.70%,109,Your personal code reviewer powered by LLMs (OpenAI GPT-3.5/4) & Embeddings ⚡️ Improve code quality and catch bugs before you break production 🚀 Lives in your Github/GitLab/Azure DevOps CI,"lizacullis, SEBRATHEZEBRA, mattzcarey",20,2023-07-06,2024-03-20,0
openlm-research/open_llama,Model repo,,7160,2,0.03%,7,0.10%,352,"OpenLLaMA, a permissively licensed open source reproduction of Meta AI’s LLaMA 7B trained on the RedPajama dataset","young-geng, lhao499, mjul",3,2023-04-28,2023-05-04,0
opendilab/awesome-RLHF,Lists,,2638,2,0.08%,17,0.64%,174,A curated list of reinforcement learning with human feedback resources (continually updated),"ruoyuGao, PaParaZz1, Cloud-Pku",21,2023-02-13,2024-03-26,0
devflowinc/trieve,AI engineering,AIE framework,598,2,0.33%,20,3.34%,67,All-in-one infrastructure for building retrieval and RAG. Trieve combines search language models with tools for tuning.,"skeptrunedev, densumesh, fastfists",25,2023-03-26,2024-04-03,0
transitive-bullshit/chatgpt-api,Applications,Bots,15626,2,0.01%,11,0.07%,2078,Node.js client for the official ChatGPT API. 🔥,"transitive-bullshit, waylaidwanderer, optionsx",100+,2022-12-03,2023-05-31,0
intel/neural-compressor,Model development,Inference optimization,1925,2,0.10%,27,1.40%,237,"SOTA low-bit LLM quantization (INT8/FP8/INT4/FP4/NF4) & sparsity; leading model compression techniques on TensorFlow, PyTorch, and ONNX Runtime","chensuyue, guomingz, mengniwang95",100+,2020-07-21,2024-04-03,0
eugeneyan/open-llms,Lists,,9971,2,0.02%,45,0.45%,594,📋 A list of open LLMs available for commercial use.,"eugeneyan, Muhtasham, LudwigStumpp",28,2023-05-05,2024-03-21,0
spdustin/ChatGPT-AutoExpert,AI engineering,Prompt engineering,6404,2,0.03%,18,0.28%,437,🚀🧠💬 Supercharged Custom Instructions for ChatGPT (non-coding) and ChatGPT Advanced Data Analysis (coding). ,"spdustin, michaelskyba, Sanyam-2026",6,2023-09-29,2024-01-17,0
ymcui/Chinese-LLaMA-Alpaca-2,Model repo,Multilingual,6634,2,0.03%,68,1.03%,536,中文LLaMA-2 & Alpaca-2大模型二期项目 + 64K超长上下文模型 (Chinese LLaMA-2 & Alpaca-2 LLMs with 64K long context models),"ymcui, iMountTai, airaria",8,2023-07-18,2023-12-27,0
uptrain-ai/uptrain,Infrastructure,Monitoring,1928,2,0.10%,15,0.78%,161,"UpTrain is an open-source unified platform to evaluate and improve Generative AI applications. We provide grades for 20+ preconfigured checks (covering language, code, embedding use-cases), perform root cause analysis on failure cases and give insights on how to resolve them.","sourabhagr, Dominastorm, vipgupta",34,2022-11-07,2024-04-04,0
gorilla-llm/gorilla-cli,Applications,Coding,1128,2,0.18%,11,0.98%,69,LLMs for your CLI,"ShishirPatil, philipmat, royh02",5,2023-06-20,2023-10-19,0
huggingface/alignment-handbook,Tutorials,,3608,2,0.06%,47,1.30%,280,Robust recipes to align language models with human and AI preferences,"lewtun, edbeeching, nathan-az",24,2023-08-25,2024-03-27,0
huggingface/text-embeddings-inference,Infrastructure,Serving,1884,2,0.11%,51,2.71%,103,A blazing fast inference solution for text embeddings models,"OlivierDehaene, MKhalusova, somehowchris",14,2023-10-13,2024-04-04,0
truera/trulens,AI engineering,Evals,1523,2,0.13%,26,1.71%,126,Evaluation and Tracking for LLM Experiments,"joshreini1, piotrm0, rshih32",37,2020-11-02,2024-04-03,0
rotemweiss57/gpt-newspaper,Applications,Info aggregation,931,2,0.21%,26,2.79%,111,GPT based autonomous agent designed to create personalized newspapers tailored to user preferences. ,"rotemweiss57, gabimitchell4, filiurskyi",5,2024-01-20,2024-02-25,0
daveshap/OpenAI_Agent_Swarm,Applications,Workflow automation,2880,2,0.07%,9,0.31%,373,"HAAS = Hierarchical Autonomous Agent Swarm - ""Resistance is futile!""","daveshap, guillermo-delrio, OWigginsHay",18,2023-11-07,2023-12-07,0
microsoft/torchscale,Model development,Modeling & training,2893,2,0.07%,15,0.52%,194,Foundation Architecture for (M)LLMs,"shumingma, gitnlp, donglixp",15,2022-11-17,2023-12-25,0
google/BIG-bench,AI engineering,Evals,2617,2,0.08%,15,0.57%,558,Beyond the Imitation Game collaborative benchmark for measuring and extrapolating the capabilities of language models,"Sohl-Dickstein, sarahadlerrous, guygurari",100+,2021-01-15,2023-06-13,0
openai/improved-diffusion,Model repo,Multimodal,2744,2,0.07%,22,0.80%,454,Release for Improved Denoising Diffusion Probabilistic Models,"unixpickle, NoahSchiro",2,2021-02-08,2024-03-13,0
instill-ai/vdp,AI engineering,AIE framework,1842,2,0.11%,10,0.54%,79,"🔮 Instill Core is an open-source no-/low-code data, model, and pipeline orchestration platform","pinglin, donch1989, xiaofei-du",18,2022-01-13,2024-04-02,0
google-research/vision_transformer,Model repo,Multimodal,9107,2,0.02%,31,0.34%,1186,,"andsteing, akolesnikoff, sayakpaul",20,2020-10-21,2024-02-06,0
zjunlp/EasyEdit,AI engineering,Prompt engineering,1315,2,0.15%,22,1.67%,157,An Easy-to-use Knowledge Editing Framework for LLMs.,"pengzju, tbozhong, XeeKee",29,2023-05-09,2024-03-25,0
openai/point-e,Model repo,,6267,2,0.03%,13,0.21%,737,Point cloud diffusion for 3D model synthesis,"unixpickle, heewooj",2,2022-12-06,2022-12-20,0
OpenGVLab/InternGPT,AI engineering,AI interface,3097,2,0.06%,7,0.23%,223,"InternGPT (iGPT) is an open source demo platform where you can easily showcase your AI models. Now it supports DragGAN, ChatGPT, ImageBind, multimodal chat like GPT-4, SAM, interactive image editing, etc. Try it at igpt.opengvlab.com (支持DragGAN、ChatGPT、ImageBind、SAM的在线Demo系统)","liu-zhy, whai362, Zeqiang-Lai",11,2023-05-08,2023-11-24,0
InternLM/xtuner,Model development,Modeling & training,1266,2,0.16%,27,2.13%,118,"An efficient, flexible and full-featured toolkit for fine-tuning large models (InternLM, Llama, Baichuan, Qwen, ChatGLM)","LZHgrla, HIT-cwh, pppppM",23,2023-07-11,2024-04-03,0
NVIDIA/Megatron-LM,Model repo,,8323,2,0.02%,76,0.91%,1857,Ongoing research training transformer models at scale,"jaredcasper, lmcafee-nvidia, deepakn94",81,2019-03-21,2024-01-16,0
google-research/t5x,Model development,Modeling & training,2454,2,0.08%,9,0.37%,280,,"adarob, cpgaffney1, hwchung27",97,2021-11-01,2024-04-03,0
all-in-aigc/sorafm,Applications,Creative,814,2,0.25%,14,1.72%,234,Sora AI Video Generator by Sora.FM,idoubi,1,2024-02-17,1000-01-01,0
princeton-nlp/tree-of-thought-llm,AI engineering,Prompt engineering,4080,2,0.05%,37,0.91%,371,[NeurIPS 2023] Tree of Thoughts: Deliberate Problem Solving with Large Language Models,"ysymyth, karthikncode, bubalazi",5,2023-05-17,2023-07-05,0
plastic-labs/tutor-gpt,Applications,Education,660,2,0.30%,11,1.67%,57,LangChain LLM application. Dynamic metaprompting for theory-of-mind-powered tutoring. ,"vintrocode, VVoruganti, hyusap",4,2023-01-21,2023-12-20,0
google/maxtext,Model repo,,941,2,0.21%,8,0.85%,176,"A simple, performant and scalable Jax LLM!","rwitten, gobbleturk, raymondzouu",46,2023-02-28,2024-04-03,0
brexhq/prompt-engineering,Tutorials,Prompt engineering,7817,2,0.03%,17,0.22%,349,Tips and tricks for working with Large Language Models like OpenAI's GPT-4.,"stevekrenzel, eltociear, santiagobasulto",3,2023-04-21,2023-05-17,0
jaymody/picoGPT,Model repo,,3068,2,0.07%,14,0.46%,398,An unnecessarily tiny implementation of GPT-2 in NumPy.,"jaymody, certik, aletheap",5,2023-01-21,2023-04-04,0
ludwig-ai/ludwig,AI engineering,AIE framework,10741,2,0.02%,24,0.22%,1161,"Low-code framework for building custom LLMs, neural networks, and other AI models","w4nderlust, jimthompson5802, tgaddair",100+,2018-12-27,2024-03-24,0
microsoft/promptbase,Tutorials,Prompt engineering,4994,2,0.04%,20,0.40%,282,All things prompt engineering,"riedgar-ms, Harsha-Nori, microsoftopensource",7,2023-12-12,2024-01-29,0
archinetai/audio-ai-timeline,Lists,,1858,2,0.11%,3,0.16%,66,"A timeline of the latest AI models for audio generation, starting in 2023!","Yuan-ManX, flavioschneider, lifeiteng",5,2023-01-29,2023-11-16,0
microsoft/BioGPT,Model repo,,4224,2,0.05%,12,0.28%,428,,"renqianluo, microsoftopensource, katielink",9,2022-08-15,2023-02-13,0
promptslab/Promptify,AI engineering,Prompt engineering,2993,2,0.07%,19,0.63%,218,"Prompt Engineering | Prompt Versioning | Use GPT or other prompt based models to get structured output. Join our discord for Prompt-Engineering, LLMs and other latest research","monk1337, kamalkraj, eren23",11,2022-12-12,2023-07-11,0
nat/openplayground,AI engineering,AI interface,6051,2,0.03%,7,0.12%,464,An LLM playground you can run on your laptop,"AlexanderLourenco, nat, max",16,2023-02-26,2023-05-18,0
huggingface/datatrove,Model development,Dataset engineering,1095,2,0.18%,33,3.01%,57,Freeing data processing from scripting madness by providing a set of platform-agnostic customizable pipeline processing blocks.,"guipenedo, alexchapeaux, thomwolf",17,2023-06-14,2024-04-02,0
Deeptrain-Community/chatnio,AI engineering,AIE framework,2138,2,0.09%,54,2.53%,369,🚀 Next Generation AI One-Stop Internationalization Solution. 🚀 下一代 AI 一站式 B/C 端解决方案，支持 OpenAI，Midjourney，Claude，讯飞星火，Stable Diffusion，DALL·E，ChatGLM，通义千问，腾讯混元，360 智脑，百川 AI，火山方舟，新必应，Gemini，Moonshot 等模型，支持对话分享，自定义预设，云端同步，模型市场，支持弹性计费和订阅计划模式，支持图片解析，支持联网搜索，支持模型缓存，丰富美观的后台管理与仪表盘数据统计。,"zmh-program, Sh1n3zZ, Lavanille777",5,2023-07-17,2024-03-30,455
evidentlyai/evidently,Infrastructure,Monitoring,4573,2,0.04%,16,0.35%,512,Evaluate and monitor ML models from validation to production. Join our Discord: https://discord.com/invite/xZjKRaNp8b,"elenasamuylova, emeli-dral, Liraim",55,2020-11-25,2024-04-04,23
gabrielchua/RAGxplorer,AI engineering,AIE framework,944,2,0.21%,5,0.53%,88,Open-source tool to visualise your RAG 🔮,"gabrielchua, vince-lam, dan-s-mueller",10,2024-01-11,2024-02-15,0
nlpai-lab/KULLM,Model repo,Multilingual,509,2,0.39%,4,0.79%,69,"☁️ 구름(KULLM):  고려대학교에서 개발한, 한국어에 특화된 LLM","metterian, taeminlee, YOONNAJANG",8,2023-05-30,2023-09-19,0
baaivision/Emu,Model repo,Multimodal,1466,2,0.14%,8,0.55%,78,Emu Series: Generative Multimodal Models from BAAI,"yqy2001, Quan-Sun, ryanzhangfan",7,2023-07-11,2023-12-26,0
baaivision/EVA,Model repo,Multimodal,1914,2,0.10%,14,0.73%,137,EVA Series: Visual Representation Fantasies from BAAI,"Yuxin-CV, Quan-Sun, caoyue10",10,2022-11-14,2023-07-06,0
sqlchat/sqlchat,Applications,Coding,3660,2,0.05%,16,0.44%,322,Chat-based SQL Client and Editor for the next decade,"boojack, tianzhou, CorrectRoadH",11,2023-03-16,2024-02-07,0
jina-ai/thinkgpt,AI engineering,Agent,1453,1,0.07%,2,0.14%,125,Agent techniques to augment your LLM and push it beyong its limits,"alaeddine-13, hanxiao, eltociear",3,2023-04-14,2023-04-30,0
Farama-Foundation/chatarena,AI engineering,Agent,1205,1,0.08%,4,0.33%,121,ChatArena (or Chat Arena) is a Multi-Agent Language Game Environments for LLMs. The goal is to develop communication and collaboration capabilities of AIs.,"yuxiang-wu, elliottower, ZhengyaoJiang",14,2023-03-06,2024-01-16,0
lyuchenyang/Macaw-LLM,Model repo,Multimodal,1374,1,0.07%,6,0.44%,102,"Macaw-LLM: Multi-Modal Language Modeling with Image, Video, Audio, and Text Integration","lyuchenyang, longyuewangdcu, bingshuailiu",4,2023-05-23,1000-01-01,0
varunshenoy/GraphGPT,Applications,Coding,4171,1,0.02%,8,0.19%,378,Extrapolating knowledge graphs from unstructured text using GPT-3 🕵️‍♂️,"varunshenoy, ramonwenger, katsi",3,2023-01-31,2023-03-03,0
pezzolabs/pezzo,AI engineering,AIE framework,1744,1,0.06%,12,0.69%,162,"🕹️ Open-source, developer-first LLMOps platform designed to streamline prompt design, version management, instant delivery, collaboration, troubleshooting, observability and more.","arielweinberger, ItayElgazar, eylonmiz",17,2023-04-22,2024-02-03,0
Tencent/MedicalNet,Model development,Dataset engineering,1824,1,0.05%,2,0.11%,407,Many studies have shown that the performance on deep learning is significantly affected by volume of training data. The MedicalNet project provides a series of 3D-ResNet pre-trained models and relative code.,cshwhale,1,2019-07-17,1000-01-01,0
Jittor/JittorLLMs,Model development,Inference optimization,2215,1,0.05%,6,0.27%,174,计图大模型推理库，具有高性能、配置要求低、中文支持好、可移植等特点,"cjld, lzhengning, zjp-shadow",6,2023-04-02,2023-04-02,0
kuleshov/minillm,Model development,Inference optimization,804,1,0.12%,4,0.50%,50,MiniLLM is a minimal system for running modern LLMs on consumer-grade GPUs,"kuleshov, algal, ipeevski",3,2023-03-15,2023-05-15,0
jina-ai/dev-gpt,Applications,Coding,1625,1,0.06%,6,0.37%,135,Your Virtual Development Team,"florian-hoenicke, joschkabraun, francescor",7,2023-03-17,2023-06-06,0
alpa-projects/alpa,Model development,Modeling & training,2972,1,0.03%,8,0.27%,342,Training and serving large-scale neural networks with auto parallelization.,"merrymercy, zhisbug, ZYHowell",43,2021-02-22,2023-12-09,5137
allenai/RL4LMs,Model development,Modeling & training,2060,1,0.05%,10,0.49%,183,A modular RL library to fine-tune language models to human preferences,"rajcscw, jmhessel, rajammanabrolu",6,2022-08-18,2023-03-30,0
wangzhaode/mnn-llm,Infrastructure,Toolings,1273,1,0.08%,8,0.63%,144,llm deploy project based mnn.,"wangzhaode, WhisperChi, kekxv",10,2023-03-17,2024-03-22,55541
sobelio/llm-chain,AI engineering,AIE framework,1121,1,0.09%,5,0.45%,109,`llm-chain` is a powerful rust crate for building chains in large language models allowing you to summarise text and complete complex tasks,"williamhogman, Juzov, danbev",34,2023-03-24,2023-08-02,0
safevideo/autollm,AI engineering,AIE framework,889,1,0.11%,7,0.79%,86,Ship RAG based LLM web apps in seconds.,"SeeknnDestroy, fcakyon, kadirnar",3,2023-09-21,2024-01-24,0
kreneskyp/ix,AI engineering,Agent,964,1,0.10%,14,1.45%,112,Autonomous GPT-4 agent platform,"kreneskyp, gwc4github, BillSchumacher",5,2023-04-05,2024-03-03,0
Yifan-Song793/RestGPT,AI engineering,Agent,1225,1,0.08%,4,0.33%,85,An LLM-based autonomous agent controlling real-world applications via RESTful APIs,"Yifan-Song793, WeiminXiong, Jdelbarcogarza",4,2023-08-26,2023-09-11,0
google/oss-fuzz-gen,Applications,Coding,658,1,0.15%,10,1.52%,71,LLM powered fuzzing via OSS-Fuzz.,"DonggeLiu, oliverchang, cjx10",13,2024-01-25,2024-03-27,0
neo4j/NaLLM,Applications,Data organization,911,1,0.11%,9,0.99%,162,Repository for the NaLLM project,"noahmay, tomasonjo, oskarhane",4,2023-05-02,2023-07-13,0
gofireflyio/aiac,Applications,Coding,3254,1,0.03%,9,0.28%,245,Artificial Intelligence Infrastructure-as-Code Generator.,"ido50, liavyona, eran-infralight",7,2022-12-07,2024-03-20,7374
openai/weak-to-strong,Model development,Modeling & training,2372,1,0.04%,10,0.42%,280,,"WuTheFWasThat, AdrienLE, srivhash",10,2023-12-13,2024-01-23,0
shibing624/MedicalGPT,Model development,Modeling & training,2442,1,0.04%,22,0.90%,376,MedicalGPT: Training Your Own Medical GPT Model with ChatGPT Training Pipeline. 训练医疗大模型，实现了包括增量预训练、有监督微调、RLHF(奖励建模、强化学习训练)和DPO(直接偏好优化)。,"shibing624, dividez, Billccx",7,2023-06-02,2024-01-30,0
THUDM/CodeGeeX,Model repo,,7718,1,0.01%,13,0.17%,550,CodeGeeX: An Open Multilingual Code Generation Model (KDD 2023),"Stanislas0, BBuf, ss18",12,2022-09-17,2023-03-06,0
tatsu-lab/alpaca_eval,AI engineering,Evals,1036,1,0.10%,17,1.64%,149,"An automatic evaluator for instruction-following language models. Human-validated, high-quality, cheap, and fast.","YannDubs, rtaori, lxuechen",48,2023-05-25,2024-04-03,0
shreyashankar/gpt3-sandbox,AI engineering,Prompt engineering,2901,1,0.03%,3,0.10%,890,The goal of this project is to enable users to create cool web demos using the newly released OpenAI GPT-3 API with just a few lines of Python.,"shreyashankar, buyumaz, bora-uyumazturk",13,2020-07-19,2023-02-24,0
yokoffing/ChatGPT-Prompts,Lists,,753,1,0.13%,5,0.66%,74,ChatGPT and Bing AI prompt curation,"yokoffing, UkuleleBoy46, pdpwebsecurify",3,2022-12-10,2024-03-05,0
hua1995116/awesome-ai-painting,Tutorials,,10607,1,0.01%,29,0.27%,868,AI绘画资料合集（包含国内外可使用平台、使用教程、参数教程、部署教程、业界新闻等等） Stable diffusion、AnimateDiff、Stable Cascade 、Stable SDXL Turbo,"hua1995116, nan980914, TandK8600",12,2022-10-08,2023-10-24,0
JonasGeiping/cramming,Model development,Modeling & training,1227,1,0.08%,5,0.41%,96,Cramming the training of a (BERT-type) language model into limited compute.,"JonasGeiping, Randl, ss18",8,2022-12-29,2024-02-18,0
NeumTry/NeumAI,Infrastructure,Data management,763,1,0.13%,8,1.05%,43,Neum AI is a best-in-class framework to manage the creation and synchronization of vector embeddings at large scale.,"ddematheu, kevinco26, sky-2002",5,2023-09-14,2024-01-15,0
qwopqwop200/GPTQ-for-LLaMa,Model development,Inference optimization,2888,1,0.03%,8,0.28%,446,4 bits quantization of LLaMA using GPTQ,"qwopqwop200, tpoisonooo, MasterTaffer",26,2023-03-06,2023-06-23,0
THUDM/AgentBench,AI engineering,Evals,1766,1,0.06%,16,0.91%,109,A Comprehensive Benchmark to Evaluate LLMs as Agents (ICLR'24),"HenryCai11, Longin-Yu, zhc7",8,2023-07-28,2024-03-05,0
databrickslabs/dolly,Model repo,,10769,1,0.01%,14,0.13%,1156,"Databricks’ Dolly, a large language model trained on the Databricks Machine Learning Platform","srowen, matthayes, tnixon",13,2023-03-24,2023-06-24,0
mit-han-lab/smoothquant,Model development,Inference optimization,988,1,0.10%,16,1.62%,106,[ICML 2023] SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,"Guangxuan-Xiao, tonylins, songhan",3,2022-11-17,2023-02-10,0
togethercomputer/RedPajama-Data,Model development,Dataset engineering,4273,1,0.02%,22,0.51%,325,The RedPajama-Data repository contains code for preparing large datasets for training large language models.,"mauriceweber, xzyaoi, zhangce",7,2023-04-14,2023-12-01,0
KhoomeiK/LlamaGym,Model development,Modeling & training,863,1,0.12%,14,1.62%,32,Fine-tune LLM agents with online reinforcement learning,KhoomeiK,1,2024-03-01,2024-03-10,0
openai/grade-school-math,AI engineering,Evals,853,1,0.12%,9,1.06%,125,,"vineetsk10, kcobbe",2,2021-10-20,2021-11-03,0
project-baize/baize-chatbot,Model repo,,3126,1,0.03%,5,0.16%,273,Let ChatGPT teach your own chatbot in hours with a single GPU!,"JetRunner, guoday, dnouri",5,2023-03-31,2023-04-19,553
carson-katri/dream-textures,Applications,Image production,7558,1,0.01%,13,0.17%,396,Stable Diffusion built-in to Blender,"carson-katri, NullSenseStudio, blastframe",11,2022-09-08,2024-03-31,204219
context-labs/autodoc,Applications,Coding,1795,1,0.06%,4,0.22%,101,Experimental toolkit for auto-generating codebase documentation using LLMs,"samheutmaker, andrewhong5297, 0xturboblitz",8,2023-03-22,2023-11-14,0
unifyai/ivy,Infrastructure,Toolings,14011,1,0.01%,17,0.12%,5890,The Unified AI Framework,"djl11, vedpatwardhan, Ishticode",100+,2021-01-19,2024-04-04,0
declare-lab/tango,Model repo,Multimodal,866,1,0.12%,2,0.23%,66,"Codes and Model of the paper ""Text-to-Audio Generation using Instruction Tuned LLM and Latent Diffusion Model""","soujanyaporia, deepanwayx, nmder",5,2023-04-10,2023-06-25,0
georgian-io/Multimodal-Toolkit,Model repo,Multimodal,553,1,0.18%,1,0.18%,82,Multimodal model for text and tabular data with HuggingFace transformers as building block for text data,"akashsaravanan-georgian, codeKgu, DougTrajano",6,2020-08-20,2024-03-08,22
