name,full_name,topics,description,created_at,updated_at,stargazers_count,forks_count,license
h2o-llmstudio,h2oai/h2o-llmstudio,"ai, chatbot, chatgpt, fine-tuning, finetuning, generative, generative-ai, gpt, llama, llama2, llm, llm-training",H2O LLM Studio - a framework and no-code GUI for fine-tuning LLMs. Documentation: https://h2oai.github.io/h2o-llmstudio/,2023-04-17,2024-04-07,3510,376,Apache License 2.0
web-stable-diffusion,mlc-ai/web-stable-diffusion,"deep-learning, stable-diffusion, tvm, web-assembly, webgpu, webml",Bringing stable diffusion models to web browsers. Everything runs inside the browser with no server support. ,2023-03-06,2024-04-07,3411,207,Apache License 2.0
awesome-machine-learning-interpretability,jphall663/awesome-machine-learning-interpretability,"ai-safety, awesome, awesome-list, data-science, explainable-ml, fairness, interpretability, interpretable-ai, interpretable-machine-learning, interpretable-ml, machine-learning, machine-learning-interpretability, privacy-enhancing-technologies, privacy-preserving-machine-learning, python, r, reliable-ai, secure-ml, transparency, xai",A curated list of awesome responsible machine learning resources.,2018-06-21,2024-04-06,3401,574,Creative Commons Zero v1.0 Universal
llama-hub,run-llama/llama-hub,no topic,A library of data loaders for LLMs made by the community -- to be used with LlamaIndex and/or LangChain,2023-02-01,2024-04-06,3384,722,MIT License
OpenAgents,xlang-ai/OpenAgents,"agent, assistant-chat-bots, code-generation, executable-langauge-grounding, gpt, hacktoberfest, language-model, language-model-agent, llm, semantic-parsing, tool-learning, ui",OpenAgents: An Open Platform for Language Agents in the Wild,2023-08-08,2024-04-07,3348,326,Apache License 2.0
Awesome-AIGC-Tutorials,luban-agi/Awesome-AIGC-Tutorials,"ai, aigc, awesome, chatgpt, courses-resource, deep-learning, llm, midjourney, multimodal, nlp, prompt-engineering, stable-diffusion, tutorials","Curated tutorials and resources for Large Language Models, AI Painting, and more. ",2023-08-22,2024-04-07,3335,217,MIT License
open-source-alternatives,btw-so/open-source-alternatives,no topic,List of open-source alternatives to everyday SaaS products.,2023-05-22,2024-04-07,3327,136,MIT License
yue,yue/yue,no topic,A library for creating native cross-platform GUI apps,2016-08-07,2024-04-07,3317,148,GNU Lesser General Public License v2.1
awesome-generative-ai-guide,aishwaryanr/awesome-generative-ai-guide,"awesome, awesome-list, generative-ai, interview-questions, large-language-models, llms, notebook-jupyter, vision-and-language","A one stop repository for generative AI research updates, interview resources, notebooks and much more!",2024-02-06,2024-04-07,3285,645,MIT License
NeMo-Guardrails,NVIDIA/NeMo-Guardrails,no topic,NeMo Guardrails is an open-source toolkit for easily adding programmable guardrails to LLM-based conversational systems.,2023-04-18,2024-04-07,3277,281,Other
higgsfield,higgsfield-ai/higgsfield,"cluster-management, deep-learning, distributed, llama, llama2, llm, machine-learning, mlops, pytorch","Fault-tolerant, highly scalable GPU orchestration, and a machine learning framework designed for training models with billions to trillions of parameters",2018-05-26,2024-04-06,3244,555,Apache License 2.0
skyvern,Skyvern-AI/skyvern,"api, automation, browser, browser-automation, computer, gpt, llm, playwright, python, rpa, vision, workflow",Automate browser-based workflows with LLMs and Computer Vision,2024-02-28,2024-04-07,3236,228,GNU Affero General Public License v3.0
guardrails,guardrails-ai/guardrails,"ai, foundation-model, gpt-3, llm, openai",Adding guardrails to large language models.,2023-01-29,2024-04-07,3222,224,Apache License 2.0
LLM-As-Chatbot,deep-diver/LLM-As-Chatbot,no topic,LLM as a Chatbot Service,2023-02-27,2024-04-06,3221,378,Apache License 2.0
YAYI,wenge-research/YAYI,"bloom, chat, chinese, llama, llama2, llm, lora, yayi",雅意大模型：为客户打造安全可靠的专属大模型，基于大规模中英文多领域指令数据训练的 LlaMA 2 & BLOOM 系列模型，由中科闻歌算法团队研发。(Repo for YaYi Chinese LLMs based on LlaMA2 & BLOOM),2023-05-24,2024-04-03,3210,41,Apache License 2.0
instagraph,yoheinakajima/instagraph,no topic,Converts text input or URL into knowledge graph and displays,2023-09-12,2024-04-07,3139,276,MIT License
LMOps,microsoft/LMOps,"agi, gpt, language-model, llm, lm, lmops, nlp, pretraining, prompt, promptist, x-prompt",General technology for enabling AI capabilities w/ LLMs and MLLMs,2022-12-13,2024-04-07,3134,223,MIT License
mergekit,arcee-ai/mergekit,"llama, llm, model-merging",Tools for merging pretrained large language models.,2023-08-21,2024-04-07,3121,250,GNU Lesser General Public License v3.0
machine-learning,ethen8181/machine-learning,"data-science, deep-learning, jupyter-notebook, machine-learning, python, python3",:earth_americas: machine learning tutorials (mainly in Python3) ,2015-07-24,2024-04-07,3114,645,MIT License
InternGPT,OpenGVLab/InternGPT,"chatgpt, click, draggan, foundation-model, gpt, gpt-4, gradio, husky, image-captioning, imagebind, internimage, langchain, llama, llm, multimodal, sam, segment-anything, vicuna, video-generation, vqa","InternGPT (iGPT) is an open source demo platform where you can easily showcase your AI models. Now it supports DragGAN, ChatGPT, ImageBind, multimodal chat like GPT-4, SAM, interactive image editing, etc. Try it at igpt.opengvlab.com (支持DragGAN、ChatGPT、ImageBind、SAM的在线Demo系统)",2023-05-08,2024-04-07,3100,223,Apache License 2.0
ChatGPT-Admin-Web,AprilNEA/ChatGPT-Admin-Web,"ai-system, chatgpt, gpt-4, llm, llvm, newbing, nextjs, postgresql, prisma, prompt, user-management, webui",One-stop system for shared use of AI within teams and organizationswith | 在团队和组织内共享使用人工智能的一站式系统,2023-04-26,2024-04-06,3091,1232,MIT License
argilla,argilla-io/argilla,"active-learning, ai, annotation-tool, developer-tools, gpt-4, human-in-the-loop, langchain, llm, machine-learning, mlops, natural-language-processing, nlp, rlhf, text-annotation, text-labeling, weak-supervision, weakly-supervised-learning","Argilla is a collaboration platform for AI engineers and domain experts that require high-quality outputs, full data ownership, and overall efficiency.",2021-04-28,2024-04-07,3073,305,Apache License 2.0
llmware,llmware-ai/llmware,"ai, bert, embedding-vectors, embeddings, faiss, generative-ai, information-retrieval, large-language-models, machine-learning, milvus, nlp, parsing, python, pytorch, question-answering, rag, retrieval-augmented-generation, semantic-search, transformers","Providing enterprise-grade LLM-based development framework, tools, and fine-tuned models.",2023-09-29,2024-04-07,3018,255,Apache License 2.0
fastllm,ztxz16/fastllm,no topic,"纯c++的全平台llm加速库，支持python调用，chatglm-6B级模型单卡可达10000+token / s，支持glm, llama, moss基座，手机端流畅运行",2023-05-13,2024-04-07,2994,297,Apache License 2.0
AlphaCodium,Codium-ai/AlphaCodium,"broader-impacts, code-generation, flow-engineering, paper-implementations, state-of-the-art","Official implementation for the paper: ""Code Generation with AlphaCodium: From Prompt Engineering to Flow Engineering""""",2024-01-14,2024-04-07,2990,211,GNU Affero General Public License v3.0
kserve,kserve/kserve,"artificial-intelligence, hacktoberfest, hacktoberfest2023, istio, k8s, knative, kserve, kubeflow, kubeflow-pipelines, kubernetes, machine-learning, mlops, mlops-community, model-interpretability, model-serving, pytorch, service-mesh, sklearn, tensorflow, xgboost",Standardized Serverless ML Inference Platform on Kubernetes,2019-03-27,2024-04-07,2989,944,Apache License 2.0
autotrain-advanced,huggingface/autotrain-advanced,"autotrain, deep-learning, huggingface, machine-learning, natural-language-processing, natural-language-understanding, python",🤗 AutoTrain Advanced,2020-12-15,2024-04-07,2985,353,Apache License 2.0
alpa,alpa-projects/alpa,"alpa, auto-parallelization, compiler, deep-learning, distributed-computing, distributed-training, high-performance-computing, jax, llm, machine-learning",Training and serving large-scale neural networks with auto parallelization.,2021-02-22,2024-04-07,2971,342,Apache License 2.0
docta,Docta-ai/docta,"data, data-centric-ai, data-centric-machine-learning, data-curation, data-diagnosis, language-model, rlhf",A Doctor for your data,2023-05-02,2024-04-06,2950,172,Other
towhee,towhee-io/towhee,"computer-vision, convolutional-networks, embedding-vectors, embeddings, feature-extraction, feature-vector, image-processing, image-retrieval, llm, machine-learning, milvus, pipeline, towhee, transformer, unstructured-data, video-processing, vision-transformer, vit",Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.,2021-07-13,2024-04-07,2945,235,Apache License 2.0
metavoice-src,metavoiceio/metavoice-src,"ai, deep-learning, pytorch, speech, speech-synthesis, text-to-speech, tts, voice-clone, zero-shot-tts","Foundational model for human-like, expressive TTS",2024-02-06,2024-04-07,2922,366,Apache License 2.0
scikit-llm,iryna-kondr/scikit-llm,"chatgpt, deep-learning, llm, machine-learning, scikit-learn, transformers",Seamlessly integrate LLMs into scikit-learn.,2023-05-12,2024-04-05,2914,225,MIT License
giskard,Giskard-AI/giskard,"ai-red-team, ai-safety, ai-security, ai-testing, ethical-artificial-intelligence, fairness-ai, llm, llm-eval, llm-evaluation, llm-security, llmops, ml-safety, ml-testing, ml-validation, mlops, model-monitoring, rag-evaluation, red-team-tools, responsible-ai, trustworthy-ai",🐢 Open-Source Evaluation & Testing framework for LLMs and ML models,2022-03-06,2024-04-07,2914,186,Other
LangChain-ChatGLM-Webui,X-D-Lab/LangChain-ChatGLM-Webui,"belle, bilibili, chatglm-6b, chatglm-webui, jina, langchain, langchain-serve, llama, llm, minimax, modelscope",基于LangChain和ChatGLM-6B等系列LLM的针对本地知识库的自动问答,2023-04-10,2024-04-07,2912,446,Apache License 2.0
phidata,phidatahq/phidata,"ai, aws, data-engineering, developer-tools, docker, gpt-4, llm, llmops, python",Build AI Assistants with function calling and connect LLMs to external tools.,2022-05-04,2024-04-07,2870,299,Mozilla Public License 2.0
LLMZoo,FreedomIntelligence/LLMZoo,no topic,"⚡LLM Zoo is a project that provides data, models, and evaluation benchmark for large language models.⚡",2023-04-01,2024-04-07,2851,190,Apache License 2.0
MNBVC,esbatmop/MNBVC,"chinese, chinese-language, chinese-nlp, chinese-simplified, corpus-data, nlp, nlp-machine-learning",MNBVC(Massive Never-ending BT Vast Chinese corpus)超大规模中文语料集。对标chatGPT训练的40T数据。MNBVC数据集不但包括主流文化，也包括各个小众文化甚至火星文的数据。MNBVC数据集包括新闻、作文、小说、书籍、杂志、论文、台词、帖子、wiki、古诗、歌词、商品介绍、笑话、糗事、聊天记录等一切形式的纯文本中文数据。,2022-12-31,2024-04-07,2850,195,MIT License
databerry,gmpetrov/databerry,"ai, aichatbot, chatbot, chatbots, chatgpt, llm, no-code, openai, qdrant, semantic-search, typescript",The no-code platform for building custom LLM Agents,2023-03-27,2024-04-07,2848,372,GNU Affero General Public License v3.0
langchain4j,langchain4j/langchain4j,"azure-openai, chatgpt, chroma, embeddings, gemini, gpt, huggingface, java, langchain, langchain-java, llama, llama2, localai, milvus, ollama, onnx, openai, pinecone, vector-database, weaviate",Java version of LangChain,2023-06-20,2024-04-07,2837,532,Apache License 2.0
AutoGPT-Next-Web,ConnectAI-E/AutoGPT-Next-Web,"auto-gpt, connect-ai, docker, docker-compose, langchangjs, llm, nextjs, openai, react, vercel","🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.一键免费部署你的私人AutoGPT 网页应用",2023-04-15,2024-04-07,2836,1410,GNU General Public License v3.0
NExT-GPT,NExT-GPT/NExT-GPT,"chatgpt, foundation-models, gpt-4, instruction-tuning, large-language-models, llm, multi-modal-chatgpt, multimodal, visual-language-learning",Code and models for NExT-GPT: Any-to-Any Multimodal Large Language Model,2023-08-30,2024-04-07,2813,290,"BSD 3-Clause ""New"" or ""Revised"" License"
llm-attacks,llm-attacks/llm-attacks,no topic,Universal and Transferable Attacks on Aligned Language Models,2023-07-27,2024-04-07,2791,368,MIT License
ragflow,infiniflow/ragflow,"data-pipelines, deep-learning, document-parser, document-understanding, information-retrieval, llm, llmops, machine-learning, nlp, ocr, orchestration, pdf-to-text, preprocessing, rag, retrieval-augmented-generation, table-structure-recognition",RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,2023-12-12,2024-04-07,2778,174,Apache License 2.0
pyllama,juncongmoo/pyllama,no topic,LLaMA: Open and Efficient Foundation Language Models,2023-02-28,2024-04-07,2775,310,GNU General Public License v3.0
exllamav2,turboderp/exllamav2,no topic,A fast inference library for running LLMs locally on modern consumer-class GPUs,2023-08-30,2024-04-07,2774,204,MIT License
llm,simonw/llm,"ai, llms, openai",Access large language models from the command-line,2023-04-01,2024-04-07,2766,124,Apache License 2.0
awesome-ai-in-finance,georgezouq/awesome-ai-in-finance,"analysis, awesome, awesome-list, cryptocurrency, deep-learning, financial, neural-network, quant, quantitative-finance, reinforcement-learning, stock-market, technology-analysis",🔬 A curated list of awesome LLMs & deep learning strategies & tools in financial market.,2018-08-29,2024-04-07,2761,353,Creative Commons Zero v1.0 Universal
Anima,lyogavin/Anima,"chinese-llm, chinese-nlp, finetune, generative-ai, instruct-gpt, instruction-set, llama, llm, lora, open-models, open-source, open-source-models, qlora","33B Chinese LLM, DPO QLORA, 100K context, AirLLM 70B inference with single 4GB GPU",2023-06-12,2024-04-07,2760,213,Apache License 2.0
EmbedAI,SamurAIGPT/EmbedAI,"chatbot, chatgpt, embedai, embeddings, generative, gpt, gpt4, gpt4all, langchain, models, openai, privategpt, vectorstore, whisper","An app to interact privately with your documents using the power of GPT, 100% privately, no data leaks",2023-05-25,2024-04-07,2735,296,MIT License
genai-stack,docker/genai-stack,no topic,Langchain + Docker + Neo4j + Ollama,2023-09-13,2024-04-07,2729,546,Creative Commons Zero v1.0 Universal
langfuse,langfuse/langfuse,"analytics, evaluation, generative-ai, gpt, langchain, large-language-models, llama-index, llm, llm-agent, llm-framework, llmops, monitoring, observability, open-source, openai, prompt-engineering, prompt-management, self-hosted, ycombinator","🪢 Open source LLM engineering platform. Observability, metrics, evals, prompt management, testing -- 🍊YC W23 🤖 integrate via Typescript, Python, OpenAI, Langchain, LlamaIndex, Litellm",2023-05-18,2024-04-07,2726,240,Other
stable-diffusion-webui-chinese,VinsonLaro/stable-diffusion-webui-chinese,no topic,stable-diffusion-webui 的汉化扩展,2022-10-10,2024-04-07,2703,290,GNU General Public License v3.0
awesome-RLHF,opendilab/awesome-RLHF,"deep-learning, deep-reinforcement-learning, human-feedback, large-language-models, reinforcement-learning, rlhf",A curated list of reinforcement learning with human feedback resources (continually updated),2023-02-13,2024-04-07,2647,176,Apache License 2.0
ADeus,adamcohenhillel/ADeus,"ai, open, open-source-ai, wear, wearable, wearable-devices","An open source AI wearable device that captures what you say and hear in the real world and then transcribes and stores it on your own server. You can then chat with Adeus using the app, and it will have all the right context about what you want to talk about - a truly personalized, personal AI.",2024-01-22,2024-04-07,2645,270,Other
BigDL-2.x,intel-analytics/BigDL-2.x,"analytics-zoo, apache-spark, bigdl, deep-neural-network, distributed-deep-learning, keras-tensorflow, python, pytorch, scala","BigDL: Distributed TensorFlow, Keras and PyTorch on Apache Spark/Flink & Ray",2017-05-05,2024-04-07,2626,728,Apache License 2.0
sqlcoder,defog-ai/sqlcoder,no topic,SoTA LLM for converting natural language questions to SQL queries,2023-08-17,2024-04-07,2622,160,Apache License 2.0
algernon,xyproto/algernon,"algernon, cross-platform, go, gopher, http2, http3, live-reload, lua, mysql, ollama, pongo2, postgresql, quic, redis, server-sent-events, tls13","Small self-contained pure-Go web server with Lua, Teal, Markdown, Ollama, HTTP/2, QUIC, Redis and PostgreSQL support",2015-03-10,2024-04-05,2615,133,"BSD 3-Clause ""New"" or ""Revised"" License"
Eureka,eureka-research/Eureka,no topic,"Official Repository for ""Eureka: Human-Level Reward Design via Coding Large Language Models""",2023-09-25,2024-04-07,2571,223,MIT License
evadb,georgia-tech-db/evadb,"agent, ai, auto-gpt, chatgpt, data-analysis, database, eva, gpt-4, gpt4all, hacktoberfest, huggingface, labeling, langchain, llm, object-detection, serving, video-analytics",Database system for AI-powered apps,2018-09-10,2024-04-05,2561,260,Apache License 2.0
aichat,sigoden/aichat,"ai, all-in-one, azure-openai, chat, chatbot, chatgpt, chatgpt-cli, claude, ernie, gemini, llama, llm, localai, mistral, ollama, openai, qianwen, repl, vertexai","All-in-one CLI tool for 10+ AI platforms, including OpenAI(ChatGPT), Gemini, Claude, Mistral, LocalAI, Ollama, VertexAI, Ernie, Qianwen...",2023-03-03,2024-04-07,2559,173,Apache License 2.0
FreedomGPT,ohmplatform/FreedomGPT,"electron, gpt, llm, react",This codebase is for a React and Electron-based app that executes the FreedomGPT LLM locally (offline and private) on Mac and Windows using a chat-based interface,2023-03-21,2024-04-06,2539,336,GNU General Public License v3.0
incubator-hugegraph,apache/incubator-hugegraph,"big-data, database, graph, graph-database, graphdb, gremlin","A graph database that supports more than 100+ billion data, high performance and scalability (Include OLTP Engine & REST-API & Backends)",2018-07-18,2024-04-03,2532,498,Apache License 2.0
chatglm.cpp,li-plus/chatglm.cpp,"baichuan, baichuan2, chatglm, chatglm2, chatglm3, codegeex2-6b, internlm, large-language-models, nlp",C++ implementation of ChatGLM-6B & ChatGLM2-6B & ChatGLM3 & more LLMs,2023-05-23,2024-04-07,2528,298,MIT License
xTuring,stochasticai/xTuring,"adapter, alpaca, deep-learning, fine-tuning, finetuning, gen-ai, generative-ai, gpt-2, gpt-j, language-model, llama, llm, lora, mistral, mixed-precision, peft, quantization","Build, customize and control you own LLMs. From data pre-processing to fine-tuning, xTuring provides an easy way to personalize open-source LLMs. Join our discord community: https://discord.gg/TgHXuSJEk6",2023-03-19,2024-04-07,2508,195,Apache License 2.0
ComfyUI-Workflows-ZHO,ZHO-ZHO-ZHO/ComfyUI-Workflows-ZHO,"comfyui, stable-diffusion",我的 ComfyUI 工作流合集 | My ComfyUI workflows collection,2024-03-06,2024-04-07,2492,253,GNU General Public License v3.0
MedicalGPT,shibing624/MedicalGPT,"chatgpt, dpo, gpt, llama, llm, medical, medicalgpt",MedicalGPT: Training Your Own Medical GPT Model with ChatGPT Training Pipeline. 训练医疗大模型，实现了包括增量预训练、有监督微调、RLHF(奖励建模、强化学习训练)和DPO(直接偏好优化)。,2023-06-02,2024-04-07,2450,376,Apache License 2.0
Alpaca-CoT,PhoebusSi/Alpaca-CoT,"alpaca, chatglm, chatgpt, cot, instruction-tuning, llama, llm, lora, moss, p-tuning, parameter-efficient, pytorch, tabul, tabular-data, tabular-model","We unified the interfaces of instruction-tuning data (e.g., CoT data), multiple LLMs and parameter-efficient methods (e.g., lora, p-tuning) together for easy use. We welcome open-source enthusiasts to initiate any meaningful PR on this repo and integrate as many LLM related technologies as possible. 我们打造了方便研究人员上手和使用大模型等微调平台，我们欢迎开源爱好者发起任何有意义的pr！",2023-03-24,2024-04-07,2449,231,Apache License 2.0
llm-app,pathwaycom/llm-app,"chatbot, hugging-face, llm, llm-local, llm-prompting, llm-security, llmops, machine-learning, open-ai, pathway, rag, real-time, retrieval-augmented-generation, vector-database, vector-index","LLM App templates for RAG, knowledge mining, and stream analytics. Ready to run with Docker,⚡in sync with your data sources.",2023-07-19,2024-04-07,2424,149,MIT License
prompt-engine,microsoft/prompt-engine,no topic,A library for helping developers craft prompts for Large Language Models,2022-06-17,2024-04-04,2424,96,MIT License
LLaMA2-Accessory,Alpha-VLLM/LLaMA2-Accessory,no topic,An Open-source Toolkit for LLM Development,2023-07-21,2024-04-07,2423,155,Other
vimGPT,ishan0102/vimGPT,no topic,Browse the web with GPT-4V and Vimium,2023-11-07,2024-04-06,2416,177,MIT License
YiVal,YiVal/YiVal,"ai, ai-experiments, ai-toolkit, aigc, api, auto-prompting, autogpt, fine-tuning, framework, generative-ai, gpt4, llm, midjourney, prompt, prompt-engineering, prompt-tuning, promptengineering, python, stable-diffusion",Your Automatic Prompt Engineering Assistant for GenAI Applications,2023-07-15,2024-04-07,2415,418,Apache License 2.0
AGiXT,Josh-XT/AGiXT,"agent-llm, agi, agixt, ai, artificial, automation, chromadb, intelligence, llama, llamacpp, llm, llmops, openai, python","AGiXT is a dynamic AI Agent Automation Platform that seamlessly orchestrates instruction management and complex task execution across diverse AI providers. Combining adaptive memory, smart features, and a versatile plugin system, AGiXT delivers efficient and comprehensive AI solutions.",2023-04-17,2024-04-07,2411,320,MIT License
LongLoRA,dvlab-research/LongLoRA,"fine-tuning-llm, large-language-models, llm, long-context, lora",Code and documents of LongLoRA and LongAlpaca (ICLR 2024 Oral),2023-09-21,2024-04-07,2402,238,Apache License 2.0
gptscript,gptscript-ai/gptscript,no topic,Natural Language Programming,2024-01-29,2024-04-07,2398,211,Apache License 2.0
ColBERT,stanford-futuredata/ColBERT,no topic,"ColBERT: state-of-the-art neural search (SIGIR'20, TACL'21, NeurIPS'21, NAACL'22, CIKM'22, ACL'23, EMNLP'23)",2020-05-25,2024-04-07,2395,321,MIT License
StableSwarmUI,Stability-AI/StableSwarmUI,"ai, image-generation, stable-diffusion, stablediffusion, ui","StableSwarmUI, A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility.",2023-05-12,2024-04-07,2379,196,MIT License
examples,pinecone-io/examples,"ai, jupyter-notebook, llm, python, semantic-search, vector-database",Jupyter Notebooks to help you get hands-on with Pinecone vector databases,2021-03-09,2024-04-07,2378,913,MIT License
Auto-GPT-ZH,kaqijiang/Auto-GPT-ZH,"auto-gpt, autogpt, chat-gpt, chatbot, chatgpt, chinese, chinese-simplified, chinese-translation, gpt-3-5-turbo-api, gpt-35-turbo, gpt4-api",Auto-GPT中文版本及爱好者组织 同步更新原项目 AI领域创业 自媒体组织 用AI工作学习创作变现,2023-04-18,2024-04-01,2374,400,MIT License
Free-Auto-GPT,IntelligenzaArtificiale/Free-Auto-GPT,"ai, auto-gpt, autogpt, autogpt-no-paid-api, chatgpt, chatgpt-api, chatgpt-free, democratize-ai, free-autogpt, gpt-4, gpt-4-api, gpt4, open-source-auto-gpt, open-source-gpt, openai, python, reverse-engineering","Free Auto GPT with NO paids API is a repository that offers a simple version of Auto GPT, an autonomous AI agent capable of performing tasks independently. Unlike other versions, our implementation does not rely on any paid OpenAI API, making it accessible to anyone. ",2023-04-19,2024-04-07,2369,377,MIT License
lida,microsoft/lida,"cohere, datavisualization, hacktoberfest, llm, openai, openai-api, palm2, visualization",Automatic Generation of Visualizations and Infographics using Large Language Models,2023-03-09,2024-04-07,2348,218,MIT License
OpenPipe,OpenPipe/OpenPipe,"ai, llm, llmops, prompt-engineering",Turn expensive prompts into cheap fine-tuned models,2023-06-20,2024-04-05,2345,118,Apache License 2.0
willow,toverainc/willow,"alexa, deep-learning, echo, esp-adf, esp-idf, esp32, google-home, home-assistant, home-automation, privacy, speech-recognition, speech-to-text, whisper","Open source, local, and self-hosted Amazon Echo/Google Home competitive Voice Assistant alternative",2023-03-31,2024-04-07,2343,93,Apache License 2.0
chain-of-thought-hub,FranxYao/chain-of-thought-hub,no topic,Benchmarking large language models' complex reasoning ability with chain-of-thought prompting,2023-03-10,2024-04-07,2337,118,MIT License
opencompass,open-compass/opencompass,"benchmark, chatgpt, evaluation, large-language-model, llama2, llm, openai","OpenCompass is an LLM evaluation platform, supporting a wide range of models (InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.",2023-06-15,2024-04-07,2313,237,Apache License 2.0
rivet,Ironclad/rivet,"ai, llm, openai, typescript",The open-source visual AI programming environment and TypeScript library,2023-04-22,2024-04-07,2304,206,MIT License
Roadmap-To-Learn-Generative-AI-In-2024,krishnaik06/Roadmap-To-Learn-Generative-AI-In-2024,no topic,,2023-12-11,2024-04-07,2301,966,GNU General Public License v3.0
promptfoo,promptfoo/promptfoo,"ci, ci-cd, cicd, evaluation, evaluation-framework, llm, llm-eval, llm-evaluation, llm-evaluation-framework, llmops, prompt-engineering, prompt-testing, prompts, rag, testing","Test your prompts, models, RAGs. Evaluate and compare LLM outputs, catch regressions, and improve prompt quality. LLM evals for OpenAI/Azure GPT, Anthropic Claude, VertexAI Gemini, Ollama, Local & private models like Mistral/Mixtral/Llama with CI/CD",2023-04-28,2024-04-07,2291,141,MIT License
X-AnyLabeling,CVHub520/X-AnyLabeling,"clip, deep-learning, deeplearning, labeling-tool, llm, onnx, paddle, pytorch, resnet, sam, yolo",Effortless data labeling with AI support from Segment Anything and other awesome models.,2023-05-23,2024-04-07,2281,257,GNU General Public License v3.0
inference,xorbitsai/inference,"artificial-intelligence, chatglm, chatglm2, deployment, flan-t5, gemma, ggml, inference, llama, llama2, llamacpp, llm, machine-learning, mistral, openai-api, pytorch, vllm, whisper, wizardlm","Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop.",2023-06-14,2024-04-07,2268,181,Apache License 2.0
mentat,AbanteAI/mentat,no topic,Mentat - The AI Coding Assistant ,2023-07-25,2024-04-07,2255,202,Apache License 2.0
chat-with-gpt,cogentapps/chat-with-gpt,"artificial-intelligence, chat, chatgpt, chatgpt-api, gpt-3, gpt-4, llm, llms, self-hosted, speech-synthesis",An open-source ChatGPT app with a voice,2023-03-06,2024-04-06,2249,461,MIT License
Data-Science-Interview-Resources,rbhatia46/Data-Science-Interview-Resources,"artificial-intelligence, data-science, data-science-interview, interview-questions, interview-resources, learning-resources, machine-learning, machine-learning-interview",A repository listing out the potential sources which will help you in preparing for a Data Science/Machine Learning interview. New resources added frequently.,2018-11-22,2024-04-07,2240,567,MIT License
FuzzingPaper,wcventure/FuzzingPaper,"fuzz-testing, fuzzing, fuzzing-paper, testing",Recent Fuzzing Paper,2019-03-08,2024-04-07,2230,341,MIT License
EasyLM,young-geng/EasyLM,"chatbot, deep-learning, flax, jax, language-model, large-language-models, llama, natural-language-processing, transformer","Large language models (LLMs) made easy, EasyLM is a one stop solution for pre-training, finetuning, evaluating and serving LLMs in JAX/Flax.",2022-11-22,2024-04-07,2215,224,Apache License 2.0
mixtral-offloading,dvmazur/mixtral-offloading,"colab-notebook, deep-learning, google-colab, language-model, llm, mixture-of-experts, offloading, pytorch, quantization",Run Mixtral-8x7B models in Colab or consumer desktops,2023-12-15,2024-04-07,2209,214,MIT License
hands-on-llms,iusztinpaul/hands-on-llms,"3-pipeline-design, aws, beam, bytewax, cicd, comet-ml, docker, fine-tuning, generative-ai, huggingface, langchain, llmops, llms, mlops, qdrant, qlora, streaming, transformers","🦖 𝗟𝗲𝗮𝗿𝗻 about 𝗟𝗟𝗠𝘀, 𝗟𝗟𝗠𝗢𝗽𝘀, and 𝘃𝗲𝗰𝘁𝗼𝗿 𝗗𝗕𝘀 for free by designing, training, and deploying a real-time financial advisor LLM system ~ 𝘴𝘰𝘶𝘳𝘤𝘦 𝘤𝘰𝘥𝘦 + 𝘷𝘪𝘥𝘦𝘰 & 𝘳𝘦𝘢𝘥𝘪𝘯𝘨 𝘮𝘢𝘵𝘦𝘳𝘪𝘢𝘭𝘴",2023-06-28,2024-04-07,2190,347,MIT License
langgraph,langchain-ai/langgraph,no topic,,2023-08-09,2024-04-07,2189,262,MIT License
Chinese-Llama-2-7b,LinkSoul-AI/Chinese-Llama-2-7b,"deep-learning, llama2, llama2-docker, llm, pytorch",开源社区第一个能下载、能运行的中文 LLaMA2 模型！,2023-07-20,2024-04-07,2186,193,Apache License 2.0
trt-llm-rag-windows,NVIDIA/trt-llm-rag-windows,no topic,A developer reference project for creating Retrieval Augmented Generation (RAG) chatbots on Windows using TensorRT-LLM,2023-10-18,2024-04-07,2183,226,Other
TigerBot,TigerResearch/TigerBot,"chinese, data, llama2, llm, nlp",TigerBot: A multi-language multi-task LLM,2023-05-12,2024-04-07,2177,192,Apache License 2.0
dbrx,databricks/dbrx,"databricks, gen-ai, generative-ai, llm, llm-inference, llm-training, mosaic-ai","Code examples and resources for DBRX, a large language model developed by Databricks",2024-03-26,2024-04-07,2174,203,Other
mindforger,dvorka/mindforger,"debian, ide, knowledge, knowledge-management, linux, llm, macos, markdown, markdown-editor, markdown-ide, notebook, openai, outliner, qt, research, study, tarball, ubuntu, windows",Thinking notebook and Markdown editor with LLM wingman.,2017-12-25,2024-04-07,2169,129,GNU General Public License v2.0
